behavior,behavior_description,behavior_source,start_date,end_date,vertical,vertical_evidence,vertical_source,horizontal,horizontal_evidence,horizontal_source,oblique,oblique_evidence,oblique_source,domains,domains_evidence,domains_source,anth_effects,anth_source,group_id,behavior_id
Colony Club site finches sugar packet opening,bullfinches in Barbados were seen to innovate a new food source by pecking holes in sealed sugar packets,reader2002,2000,2000,suspected unknown,suspected unknown,suspected unknown,maybe,"possible horizontal, possibly asocial ""finches only contacted and opened sugar packets at the Colony Club sites...The fact that birds did not open, or even contact, sugar packets in other sites suggests that birds at the Colony Club site have learned both to recognize the packets as a source of food and to open them. This localized behavioral variation may be the result of social learning from conspecifics, with birds perhaps learning as a result of feeding from previously opened packets or by observing other bullfinches opening packets. Alternatively, individuals may have learned through a process of “natural shaping” (Galef 1992) at the Colony Club site, perhaps feeding from abandoned human-opened sugar packets before learning how to open them for themselves.""",reader2002,suspected unknown,suspected unknown,suspected unknown,foraging,,reader2002,not searched,not searched,700008,12
Colorado elk group bugle calls,"North American elks are polgynous and vocalization produced by males during breeding season: ""The bugle call has three major segments: (1) on-glide, a gradual increase in frequency; (2) whistle, a sustained tone; and (3) off-glide, a rapid decrease in frequency, which may be followed by staccato yelps in a minority of cases...Significant differences existed in the acoustic characteristics of bugle calls in the frequency and time domains between the source population in Wyoming and the translocated populations in Colorado and Pennsylvania...In the autumn breeding season, mature male North American elk defend groups of females that are typically accompanied by their young from the previous spring. During this time, bull elk repeatedly utter the announcement bugle calls that advertise their presence and, if challenged by a rival, they utter aggressive bugle calls (Feighny et al. 2006). Volleys of bugle calls between multiple male elk continue throughout the breeding season. Elk calves (~5 months old) are exposed to these loud, repeated auditory stimuli, potentially influencing vocal learning and vocal convergence, which has been demonstrated in another ungulate (Capra hircus; Briefer and McElligott 2012)."" (Nelson-Reinier & Clarke 2023)",nelsonreinier2023,not searched,not searched,unclear,"""The three populations have had no contact with one another since the translocations in the early 1900s and dialects may arise through drift due to genetic isolation (Somers 1973)...However, cultural transmission may influence elk bugle call characteristics and dialect development through vocal learning within the isolated populations. ...Volleys of bugle calls between multiple male elk continue throughout the breeding season. Elk calves (~5 months old) are exposed to these loud, repeated auditory stimuli, potentially influencing vocal learning and vocal convergence, which has been demonstrated in another ungulate (Capra hircus; Briefer and McElligott 2012)."" (Nelson-Reinier & Clarke 2023)",nelsonreinier2023,unclear,"""The three populations have had no contact with one another since the translocations in the early 1900s and dialects may arise through drift due to genetic isolation (Somers 1973)...However, cultural transmission may influence elk bugle call characteristics and dialect development through vocal learning within the isolated populations. ...Volleys of bugle calls between multiple male elk continue throughout the breeding season. Elk calves (~5 months old) are exposed to these loud, repeated auditory stimuli, potentially influencing vocal learning and vocal convergence, which has been demonstrated in another ungulate (Capra hircus; Briefer and McElligott 2012).""",nelsonreinier2023,unclear,"""The three populations have had no contact with one another since the translocations in the early 1900s and dialects may arise through drift due to genetic isolation (Somers 1973)...However, cultural transmission may influence elk bugle call characteristics and dialect development through vocal learning within the isolated populations. ...Volleys of bugle calls between multiple male elk continue throughout the breeding season. Elk calves (~5 months old) are exposed to these loud, repeated auditory stimuli, potentially influencing vocal learning and vocal convergence, which has been demonstrated in another ungulate (Capra hircus; Briefer and McElligott 2012).""",nelsonreinier2023,vocal communication; mating,,nelsonreinier2023,not searched,not searched,700009,13
Conneaut Lake swamp sparrows broken syntax songs,"""Our present results show that broken syntax songs also function in adult interactions, at least to some extent. In the context of male–male signalling, songs with the novel trait appear to be as effective as normal songs (Fig. 3). The response of males to territorial playback is not a direct measure of function, because song primarily functions in male–male interactions to repel intruders, not to trigger an aggressive response in territory owners as is typically measured in playbacks (Searcy & Nowicki 2000). None the less, males did not discriminate between broken and normal syntax in our tests (and even showed a tendency to respond more strongly to broken syntax), suggesting that this novel feature would not compromise signal function in male–male communication.” ""Females also responded well to broken syntax songs, and gave significantly more copulation solicitation displays in response to broken syntax songs than to heterospecific songs (Fig. 4a). However, females responded significantly less to broken syntax songs than to normal conspecific songs"" female choice appears to be stabilizing/conservative- broken syntax is an innovation that may indicate lower rather than higher male quality “An important qualification to this conclusion, however, is female song preferences themselves may be influenced by learning, as is male song production (e.g. Riebel 2000).” (Nowicki et al. 2001)",nowicki2001,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,vocal communication; mating,,nowicki2001,not searched,not searched,700010,14
Convict dialect brown-headed cowbirds flight whistle dialect,"flight whistles have geographic dialect areas, are used to communicate long distances or to accompany mating. Study tests female preferences for local or foreign dialects. “We present results from two studies. One provides evidence that a learned vocal behavior, namely the ability to give the correct local flight whistle dialect, could be a proximate cue used by female cowbirds in mate choice. The second demonstrates that the majority of yearling males in these dialects are distinguishable from adults by their failure to produce a complete rendition of the local flight whistle dialect.” “There is convincing evidence that female cowbirds in our study area disperse and breed in non-natal areas (Fleischer and Rothstein 1988; Fleischer et al. 1991). Females return from wintering to the breeding ranges later than males and they hear and interact with males from other local dialects, at least at the beginning of the breeding season (Yokel 1986a). Thus, females in this study were likely to have had contact with males from more than one dialect. Nevertheless, all test females that showed discrimination explicitly favored the dialect type of the area in which they were trapped during the breeding season.” females responded significantly more to flight whistles of their home dialect than to foreign ones, likely process of mate selection (O'Loghlen & Rothstein 1995)",ologhlen1995,1991,1991,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,maybe,"""young cowbirds may have little or no opportunity to learn the breeding vocalizations of local adults... In a process analogous to that which occurs in male song learning in these dialects (Rothstein and Fleischer 1987; O'Loghlen and Rothstein 1993), yearling females may acquire their vocal preferences by learning to recognize the prevailing song type in the area in which they attempt to breed. "" (O'Loghlen & Rothstein 1995)",ologhlen1995,vocal communication; mating,,ologhlen1995,not searched,not searched,700011,15
Cuvier saddlebacks song dialect,"Males sing loud songs including rhythmical songs, ""used exclusively by site-attached pair-bonded adult males"". Individuals sing between one and four patterns. Adopted by immigrant males when settling in new group; sometimes variants introduced and passed on leading to dialect evolution. Song pattern groups ""discrete set of individuals accopying contiguous territories"" with some overlap where territorial regions met. (Jenkins 1978)",jenkins1978,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,"“I had shown on Cuvier (i) that song groups existed with one or two of the original colonists in each and, (ii) that there was a strong tendency for new recruits to conform to the group's song pattern, but that (iii) variant forms did occur leading sometimes to the formation of a new song tradition...The evidence from the five sons studied established conclusively that they do not derive their song patterns from their fathers either by imitation or by genetic inheritance…but that they acquire them by cultural transmission from their territorial neighbours...Many of the birds which acquired this song [NE song pattern] did so late in life...the length of the sensitive period for song learning in this species...appears to last throughout its life” (Jenkins 1978)",jenkins1978,suspected unknown,suspected unknown,suspected unknown,vocal communication; mating,"""The life-long site attachment behaviour of saddlebacks means that any male recruit must of necessity fit into a very static and continuing pattern of vocal behaviour. Usually this also includes pair-bonding to the already resident female with which the male regularly sings duets . The fact that young birds replacing dead males sang the same songs as the replaced birds suggests that a widowed female may bond preferentially with a new male if it is able to sing the same songs as its predecessor"" (Jenkins 1978)",jenkins1978,not searched,not searched,700012,16
CWOT chimpanzees group 1 grooming handclasp behavior,"Chimpanzees live in semi-wild conditions in CWOT. Grooming handclasp when pair engaged in grooming reach overhead and clasp hands while grooming with the other hand, has been observed in 16 independent populations at time of study in 2010 which observed variation in ecologically homogeneous but socially separate groups in CWOT. Wrist-to-wrist style of GHC more frequent in group 1 compared with group 2.",vanleeuwen2012,not searched,not searched,yes,"""The assessment of the GHC transmission showed that 20 juveniles (11 females) out of the 23 juveniles in the handclasp groups (11 females) started engaging in the GHC behaviour and that in 83 per cent of the possible cases the mother was the first partner of these new handclaspers"" (van Leeuwen et al. 2012)",vanleeuwen2012,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,social,"part of grooming behavior, possibly linked with group identity",vanleeuwen2012,semi-wild populations consisting of wild-born and sanctuary-raised individuals,vanleeuwen2012,700013,17
CWOT chimpanzees group 2 grooming handclasp behavior,"Chimpanzees live in semi-wild conditions in CWOT. Grooming handclasp when pair engaged in grooming reach overhead and clasp hands while grooming with the other hand, has been observed in 16 independent populations at time of study in 2010 which observed variation in ecologically homogeneous but socially separate groups in CWOT. Palm-to-palm style of GHC more frequent in group 1 compared with group 2.",vanleeuwen2012,not searched,not searched,yes,"""The assessment of the GHC transmission showed that 20 juveniles (11 females) out of the 23 juveniles in the handclasp groups (11 females) started engaging in the GHC behaviour and that in 83 per cent of the possible cases the mother was the first partner of these new handclaspers"" (van Leeuwen et al. 2012)",vanleeuwen2012,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,social,"part of grooming behavior, possibly linked with group identity",vanleeuwen2012,semi-wild populations consisting of wild-born and CWOT-raised individuals,vanleeuwen2012,700014,18
eastern Hudson Bay beluga stock migratory behavior,"""Three stocks are found in and around Hudson Bay (Canada) that are named by their specific and distinct summering areas, i.e. the Cumberland Sound, the western Hudson Bay and the eastern Hudson Bay (EHB) stocks...In autumn and spring, each stock migrates along distinct routes to and from their specific summering areas [25–27], but they probably overlap in and around Hudson Strait (figure 1)."" mtDNA indicates matrilineal fidelity to summering areas. Relatedness analysis showed significant proportion of mother-offspring pairs, including older juveniles, and sibling pairs. ""Our results also strongly suggest that belugas form networks of related individuals which aggregate in space and time during the migratory period...In contrast, relatedness does not appear to extend beyond associations among females and their offspring when in summering areas."" (Colbeck et al. 2013)",colbeck2013,not searched,not searched,yes,"sex-biased social structure in relatedness analysis showed high proportion of mother-offspring pairs, indicating vertical transmission of migratory routes for some whales from mothers to male or female offspring (Colbeck et al. 2013)",colbeck2013,suspected unknown,suspected unknown,suspected unknown,yes,"sex-biased social structure in relatedness analysis also showed male-male pairs tended to be ""least often represented among close-kin pairs"" and ""are older than males in mixed-sex samples. Thus, males may remain with their relatives for a certain period of time, but eventually leave to associate primarily with other mature males"" (Colbeck et al. 2013)",colbeck2013,migration,,colbeck2013,"""All three stocks are subject to subsistence harvest by Inuit communities along migration routes and in summering areas. The harvest of the endangered EHB stock has been under quota regulation since 1986 [23]...If indeed migratory routes are socially transmitted, this may have important conservation and management implications. Indeed, it could impede the re-colonization of extirpated summering areas, and limit the dispersal between stocks using different migration routes. Thus, contributions to the endangered EHB stock from neighbouring stocks may be limited."" (Colbeck et al. 2013)",colbeck2013,700015,19
Ebo forest chimpanzees stone hammer nut-cracking,"Male and female individuals in Ebo forest observed using stone tools to crack Coula nut shells, not previously observed in this population but known among other chimpanzees",morganabwe2006,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging,"""Nut-cracking is the paradigmatic example of a nutritionally high-value, socially transmitted tradition and here we report that chimpanzees in the Ebo forest, Cameroon, more than 1700 km east of the previously proposed riverine ‘information barrier’ in Cote d'Ivoire, have been observed to crack the hard shelled nuts of Coula edulis with stones used as hammers, so as to access the nutrient-rich seeds"" (Morgan & Abwe 2006)",morganabwe2006,"""P.t. vellerosus is the most endangered and certainly the least studied of the four chimpanzee subspecies, with a probable population of between 5,000 and 9,000 remaining individuals...The Cameroon–Nigerian highlands are renowned for their high biodiversity, burgeoning human population and failing conservation policies [10]. The Ebo forest is currently under gazettement by the Government of Cameroon as a National Park. It is hoped that anti-poaching measures will be implemented with this new status to stem hunting for chimpanzees and other protected species, but it is clear that hunting for the commercial bushmeat trade is presently a major activity in all villages surrounding the forest."" (Morgan & Abwe 2006)",morganabwe2006,700016,20
Ebro Valley Dupont's Lark territorial call,"""individual songs are made up of several discrete sequences…which are largely shared by neighboring males in spring…the individual territorial call consists of a few…stereotypes and short call types that are maintained by males for many years. These calls are individually distinctive and may function to defend the territory and advertise individual identity”",laiolo2007,2004,2006,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,yes,young birds learn call from older male tutors in their settling territories,laiolo2007,vocal communication; mating,,laiolo2007,"""Individuals from small patches had a lower number of song types than those from larger fragments (GLMM, F1,90 = 13.43, P = 0.0004). The same pattern was observed at the population level, with smaller population song repertoires recorded in smaller patches (GLM, F1,21 = 47.4, P < 0.001; Figure 5a). The proximity of the nearest population affected the call repertoire size of populations, with fewer call types recorded in the more isolated patches (GLM, F1,22 = 6.83, P = 0.009; Figure 5b)...Habitat conversion to agricultural land has eliminated 40% of Dupont's larks in the Ebro Valley (Tella et al. 2005) and, as this study suggests, is disrupting the population dynamics and communication systems of the remaining populations.""",laiolo2007,700017,21
EE-WW East dialect ravens vocal dialect,"Both males and females possess large repertoire of calls that are simpler in structure to many passerine songs. In this study, average repertoire of about 12 call types, with 81% of birds having common call repertoire with other birds. Geographic distribution of songs or dialects: ""We separated the dialect regions according to the distribution of the sex-specific repetitive calls. Both males and females had dialects: TT-calling females were paired with QQ-calling males in the west, EE-calling females with WW-calling males in the east. Several facts let us conclude that the two call types of males and females really are dialect variants and not independent types. Among all repetitive calls male dialect calls had the largest intervals between syllables, while the female calls had the shortest. This set them apart from the other repetitive calls, which were used by both sexes"" (Enggist-Dueblin et al. 2002)",enggist2002,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,"""Analysis of the distribution of call types among individuals regarding sex, partnership and neighbourhood and aspects of the geographical distribution of calls showed that the main pathway of cultural transmission was within the sexes. In addition, transmission occurred between pair partners, as well as between neighbouring and more distant pairs. About 40% of the calls in a raven’s repertoire were transmitted within a sex and 10% between pair partners. Any two given birds in the population shared on average 20% (0–77%) of their calls...In our ravens, 38% of 38 call types, which occurred in at least six pairs, were distributed according to two dialect regions; 21% were so common that they were spread over the whole study area and the remaining 41% showed no distribution related to the west–east pattern” (Enggist-Dueblin et al. 2002)",enggist2002,suspected unknown,suspected unknown,suspected unknown,vocal communication; foraging; social,"recorded calls types included alarm, feeding, and recruitment calls. ""Ravens have a large vocal repertoire [29, 30], including species-typical and individually learned calls. Among the former, many call types are well-studied with respect to call production and function (e.g. food-associated calls: [31,32,33,34] and territorial calls: [35, 36]), while comparably little is known about defensive calls. Defensive calls have been described as highly variable in duration, and are uttered as single calls or sequences of several calls when retreating from dominant conspecifics [37, 38]."" (Szipl et al. 2017)",szipl2017,not searched,not searched,700018,22
